Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Giannis Antetokounmpo,29,PF,73,73,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11,17.1,0.645,0.624,7,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,
Jayson Tatum,25,PF,74,74,35.7,9.1,19.3,0.471,3.1,8.2,0.376,6,11,0.542,0.552,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1,0.6,2.5,2,26.9,
Nikola Jokić,28,C,79,79,34.6,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.9,0.626,0.612,4.5,5.5,0.817,2.8,9.5,12.4,9,1.4,0.9,3,2.5,26.4,
Anthony Davis,30,C,76,76,35.5,9.4,16.9,0.556,0.4,1.4,0.271,9,15.5,0.582,0.567,5.5,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7,
Julius Randle,29,PF,46,46,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7,9.2,5,0.5,0.3,3.5,2.7,24,
Lauri Markkanen,26,PF,55,55,33.1,7.8,16.2,0.48,3.2,8,0.399,4.6,8.2,0.559,0.578,4.5,5,0.899,2.2,5.9,8.2,2,0.9,0.5,1.4,1.8,23.2,
Zion Williamson,23,PF,70,70,31.5,8.9,15.6,0.57,0.1,0.3,0.333,8.8,15.4,0.574,0.573,5,7.1,0.702,1.7,4.1,5.8,5,1.1,0.7,2.8,2.3,22.9,
Paul George,33,PF,74,74,33.8,7.9,16.7,0.471,3.3,7.9,0.413,4.6,8.8,0.523,0.569,3.6,3.9,0.907,0.5,4.7,5.2,3.5,1.5,0.5,2.1,2.7,22.6,
Jaren Jackson Jr.,24,C,66,66,32.2,7.8,17.6,0.444,1.8,5.5,0.32,6,12.1,0.501,0.494,5.1,6.3,0.808,1.3,4.2,5.5,2.3,1.2,1.6,2.4,3.6,22.5,
Kyle Kuzma,28,PF,70,70,32.6,8.7,18.8,0.463,2.2,6.4,0.336,6.5,12.3,0.53,0.521,2.7,3.4,0.775,0.9,5.7,6.6,4.2,0.5,0.7,2.7,2.2,22.2,
Karl-Anthony Towns,28,PF,62,62,32.7,7.7,15.3,0.504,2.2,5.3,0.416,5.5,10.1,0.55,0.575,4.1,4.7,0.873,1.5,6.8,8.3,3,0.7,0.7,2.9,3.3,21.8,
Pascal Siakam,29,PF,80,80,33.2,8.5,15.9,0.536,1.1,3.1,0.346,7.5,12.8,0.581,0.569,3.6,5,0.732,1.7,5.3,7.1,4.3,0.8,0.3,1.8,2.4,21.7,
Pascal Siakam,29,PF,39,39,34.7,8.3,16,0.522,1.2,3.7,0.317,7.2,12.3,0.584,0.559,4.3,5.7,0.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2,
Pascal Siakam,29,PF,41,41,31.8,8.7,15.8,0.549,1,2.5,0.386,7.7,13.3,0.58,0.579,3,4.2,0.699,2.1,5.7,7.8,3.7,0.8,0.4,1.4,2.6,21.3,
Jerami Grant,29,PF,54,54,33.9,7.1,15.7,0.451,2.1,5.1,0.402,5,10.6,0.474,0.516,4.7,5.8,0.817,0.7,2.9,3.5,2.8,0.8,0.6,2.1,2.2,21,
Kristaps Porziņģis,28,C,57,57,29.6,6.8,13.2,0.516,1.9,5.1,0.375,4.9,8.1,0.606,0.589,4.5,5.3,0.858,1.7,5.5,7.2,2,0.7,1.9,1.6,2.7,20.1,
Domantas Sabonis,27,C,82,82,35.7,7.7,13,0.594,0.4,1.1,0.379,7.3,12,0.613,0.609,3.6,5.1,0.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3,19.4,
Bam Adebayo,26,C,71,71,34,7.5,14.3,0.521,0.2,0.6,0.357,7.3,13.7,0.528,0.529,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3,
Nikola Vučević,33,C,76,74,34.3,7.7,15.9,0.484,1.2,4.1,0.294,6.5,11.8,0.55,0.522,1.4,1.7,0.822,2.8,7.8,10.5,3.3,0.7,0.8,1.6,2.5,18,
Tobias Harris,31,PF,70,70,33.8,6.6,13.6,0.487,1.3,3.7,0.353,5.3,9.9,0.537,0.535,2.7,3,0.878,1.1,5.3,6.5,3.1,1,0.7,1.3,1.6,17.2,
Myles Turner,27,C,77,77,27,6.2,11.8,0.524,1.5,4.2,0.358,4.7,7.6,0.615,0.587,3.2,4.1,0.773,1.5,5.5,6.9,1.3,0.5,1.9,1.4,3,17.1,
Deandre Ayton,25,C,55,55,32.4,7.8,13.6,0.57,0,0.2,0.1,7.7,13.4,0.576,0.571,1.2,1.4,0.823,3.2,7.9,11.1,1.6,1,0.8,1.8,2,16.7,
Jarrett Allen,25,C,77,77,31.7,6.7,10.6,0.634,0,0.1,0,6.7,10.6,0.638,0.634,3,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5,
John Collins,26,PF,68,66,28,5.8,11,0.532,1.3,3.4,0.371,4.6,7.6,0.605,0.59,2.2,2.7,0.795,2.3,6.1,8.5,1.1,0.6,0.9,1.4,2.8,15.1,
Rudy Gobert,31,C,76,76,34.1,5.3,8.1,0.661,0,0,0,5.3,8,0.664,0.661,3.3,5.1,0.638,3.8,9.2,12.9,1.3,0.7,2.1,1.6,3.1,14,
Aaron Gordon,28,PF,73,73,31.5,5.5,9.8,0.556,0.5,1.9,0.29,4.9,7.9,0.619,0.584,2.4,3.7,0.658,2.4,4.1,6.5,3.5,0.8,0.6,1.4,1.9,13.9,
Bobby Portis,28,PF,82,4,24.5,5.7,11.2,0.508,1.2,3,0.407,4.5,8.2,0.545,0.562,1.2,1.5,0.79,1.7,5.7,7.4,1.3,0.8,0.4,1.1,2.3,13.8,
Rui Hachimura,25,PF,68,39,26.9,5.3,9.9,0.537,1.4,3.4,0.422,3.9,6.5,0.597,0.609,1.5,2,0.739,0.9,3.5,4.3,1.2,0.6,0.4,0.7,1.5,13.6,
Cameron Johnson,27,PF,58,47,27.6,4.8,10.7,0.446,2.4,6.1,0.391,2.4,4.6,0.519,0.557,1.5,1.9,0.789,0.9,3.4,4.3,2.4,0.8,0.3,1,1.8,13.4,
P.J. Washington,25,PF,73,45,30.4,4.8,11.1,0.436,1.8,5.7,0.32,3,5.5,0.558,0.518,1.4,2,0.683,1.2,4.5,5.6,1.9,1,0.8,1.3,2.3,12.9,
P.J. Washington,25,PF,44,17,29.2,5.2,11.6,0.446,1.8,5.5,0.324,3.4,6,0.558,0.524,1.5,2.1,0.713,1.2,4.1,5.3,2.2,0.9,0.7,1.5,2.5,13.6,
P.J. Washington,25,PF,29,28,32.2,4.4,10.4,0.421,1.8,5.8,0.314,2.6,4.6,0.556,0.508,1.1,1.8,0.627,1.1,5.1,6.2,1.5,1.2,0.9,1,2,11.7,
Harrison Barnes,31,PF,82,82,29,4.2,8.9,0.474,1.8,4.7,0.387,2.4,4.2,0.571,0.576,1.9,2.4,0.801,0.8,2.2,3,1.2,0.7,0.1,0.7,1.2,12.2,
Jonas Valančiūnas,31,C,82,82,23.5,4.9,8.8,0.559,0.5,1.5,0.308,4.5,7.3,0.609,0.585,2,2.5,0.785,2.3,6.5,8.8,2.1,0.4,0.8,1.4,2.7,12.2,
Nic Claxton,24,C,71,71,29.8,5.2,8.2,0.629,0,0.1,0.2,5.1,8.1,0.633,0.63,1.5,2.8,0.551,2.7,7.2,9.9,2.1,0.6,2.1,1.3,2.5,11.8,
Marvin Bagley III,24,C,50,25,21.1,4.8,8.2,0.586,0.2,0.5,0.391,4.6,7.7,0.597,0.597,1.9,2.5,0.762,2.6,3.6,6.2,1.1,0.4,0.7,1.2,1.6,11.7,
Marvin Bagley III,24,C,26,10,18.4,4.1,7,0.591,0,0.2,0.167,4.1,6.7,0.606,0.594,1.9,2.3,0.82,1.8,2.8,4.5,1,0.2,0.5,1.1,1.5,10.2,
Marvin Bagley III,24,C,24,15,24,5.5,9.5,0.581,0.3,0.7,0.471,5.2,8.8,0.59,0.599,1.9,2.7,0.708,3.5,4.6,8.1,1.2,0.6,0.8,1.3,1.7,13.3,
Ivica Zubac,26,C,68,68,26.4,5,7.6,0.649,0,0,,5,7.6,0.649,0.649,1.8,2.4,0.723,2.9,6.3,9.2,1.4,0.3,1.2,1.2,2.6,11.7,
Clint Capela,29,C,73,73,25.8,4.8,8.5,0.571,0,0,0,4.8,8.5,0.572,0.571,1.8,2.8,0.631,4.6,6,10.6,1.2,0.6,1.5,1,2.2,11.5,
Zach Collins,26,C,69,29,22.1,4.3,8.9,0.484,0.8,2.6,0.32,3.5,6.3,0.552,0.531,1.8,2.3,0.753,1.7,3.7,5.4,2.8,0.5,0.8,1.9,3,11.2,
Jakob Poeltl,28,C,50,50,26.4,5,7.6,0.656,0,0,,5,7.6,0.656,0.656,1.2,2.1,0.551,2.9,5.7,8.6,2.5,0.7,1.5,1.5,3,11.1,
Daniel Gafford,25,PF,74,66,24.5,4.7,6.5,0.725,0,0,,4.7,6.5,0.725,0.725,1.6,2.4,0.674,2.6,5,7.6,1.6,0.9,2.1,1,3.1,11,
Daniel Gafford,25,C,45,45,26.5,4.5,6.5,0.69,0,0,,4.5,6.5,0.69,0.69,1.9,2.6,0.706,2.9,5.1,8,1.5,1,2.2,1,3.3,10.9,
Daniel Gafford,25,PF,29,21,21.5,5,6.4,0.78,0,0,,5,6.4,0.78,0.78,1.2,1.9,0.607,2.2,4.7,6.9,1.6,0.7,1.9,1,2.8,11.2,
Wendell Carter Jr.,24,C,55,48,25.6,4.1,7.7,0.525,1.2,3.1,0.374,2.9,4.6,0.626,0.6,1.7,2.4,0.694,2,4.9,6.9,1.7,0.6,0.5,1.2,2.2,11,
Jusuf Nurkić,29,C,76,76,27.3,4.2,8.3,0.51,0.3,1.2,0.244,3.9,7.1,0.555,0.528,2.2,3.4,0.64,2.9,8.1,11,4,1.1,1.1,2.3,3.3,10.9,
Moritz Wagner,26,C,80,1,17.7,4.2,6.9,0.601,0.5,1.4,0.33,3.7,5.5,0.673,0.636,2.1,2.6,0.814,1.5,2.9,4.3,1.2,0.5,0.3,1.2,2,10.9,
Santi Aldama,23,PF,61,35,26.5,4,9.3,0.435,1.7,5,0.349,2.3,4.3,0.534,0.528,0.9,1.4,0.621,1.2,4.6,5.8,2.3,0.7,0.9,1.1,1.5,10.7,
Grant Williams,25,PF,76,43,28,3.6,8,0.456,1.7,4.4,0.375,2,3.5,0.558,0.56,1.4,1.8,0.757,1.1,3.1,4.2,2.3,0.6,0.5,1.4,3,10.3,
Grant Williams,25,PF,47,33,26.4,2.8,6.7,0.413,1.7,4.5,0.376,1.1,2.3,0.486,0.538,0.9,1.2,0.745,1,2.6,3.6,1.7,0.5,0.6,1.1,2.9,8.1,
Grant Williams,25,PF,29,10,30.6,5,9.9,0.503,1.6,4.3,0.373,3.4,5.6,0.605,0.585,2.2,2.9,0.765,1.4,3.8,5.1,3.2,0.7,0.4,1.9,3.1,13.9,
Obi Toppin,25,PF,82,28,21.1,4,7.1,0.573,1.2,3.1,0.403,2.8,4,0.706,0.661,0.9,1.2,0.77,1,2.9,3.9,1.6,0.6,0.5,0.8,1.7,10.3,
Onyeka Okongwu,23,C,55,8,25.5,4.1,6.6,0.611,0.4,1.3,0.333,3.6,5.4,0.676,0.642,1.7,2.1,0.793,2.6,4.2,6.8,1.3,0.5,1.1,0.8,2.9,10.2,
Jalen Smith,23,C,61,14,17.2,3.8,6.5,0.592,1,2.4,0.424,2.8,4.1,0.689,0.67,1.2,1.7,0.692,1.8,3.7,5.5,1,0.3,0.6,0.7,2,9.9,
Kelly Olynyk,32,C,78,27,22.6,3.5,6.4,0.555,0.8,2,0.387,2.8,4.4,0.632,0.616,1.9,2.3,0.833,1.4,3.9,5.3,4.4,0.9,0.4,1.9,2.9,9.8,
Kelly Olynyk,32,C,50,8,20.4,2.9,5.2,0.562,0.7,1.7,0.429,2.2,3.5,0.626,0.632,1.6,1.9,0.842,1.3,3.8,5.1,4.4,0.7,0.2,1.6,2.6,8.1,
Kelly Olynyk,32,C,28,19,26.4,4.7,8.5,0.548,0.9,2.5,0.338,3.8,6,0.637,0.598,2.5,3,0.824,1.6,4,5.6,4.6,1.3,0.6,2.5,3.5,12.7,
Nick Richards,26,C,67,51,26.3,3.9,5.6,0.691,0,0,0,3.9,5.6,0.693,0.691,2,2.7,0.737,2.6,5.5,8,0.8,0.4,1.1,1.1,2.6,9.7,
Georges Niang,30,PF,82,10,22.3,3.5,7.7,0.449,1.8,4.8,0.376,1.6,2.9,0.572,0.567,0.6,0.7,0.85,0.3,3.1,3.4,1.2,0.4,0.2,0.9,2.3,9.4,
Duop Reath,27,C,68,20,17.9,3.4,7.3,0.461,1.3,3.6,0.359,2.1,3.7,0.559,0.549,1,1.4,0.742,1.4,2.3,3.7,1,0.5,0.6,0.8,2.4,9.1,
Taurean Prince,29,PF,78,49,27,3.2,7.3,0.442,1.8,4.6,0.396,1.4,2.8,0.519,0.566,0.6,0.9,0.735,0.3,2.7,2.9,1.5,0.7,0.4,0.9,1.9,8.9,
Draymond Green,33,PF,55,52,27.1,3.4,6.8,0.497,0.9,2.3,0.395,2.4,4.4,0.551,0.566,1,1.3,0.73,1.4,5.9,7.2,6,1,0.9,2.5,3,8.6,
Dorian Finney-Smith,30,PF,68,56,28.4,3.2,7.5,0.421,1.7,4.9,0.348,1.4,2.6,0.56,0.535,0.5,0.7,0.717,1.6,3.1,4.7,1.6,0.8,0.6,0.9,2.2,8.5,
Andre Drummond,30,C,79,10,17.1,3.4,6.1,0.556,0,0,0,3.4,6,0.56,0.556,1.6,2.8,0.592,3.4,5.6,9,0.5,0.9,0.6,1,1.8,8.4,
Dario Šarić,29,C,64,9,17.2,2.8,6.1,0.466,1.2,3.1,0.376,1.7,3,0.56,0.562,1.2,1.5,0.849,1.1,3.3,4.4,2.3,0.5,0.2,1.2,1.8,8,
Trayce Jackson-Davis,23,PF,68,16,16.6,3.4,4.9,0.702,0,0,0,3.4,4.9,0.704,0.702,1.1,1.9,0.561,2,3,5,1.2,0.4,1.1,0.7,1.6,7.9,
Isaiah Hartenstein,25,C,75,49,25.3,3.1,4.9,0.644,0,0,0.333,3.1,4.8,0.646,0.645,1.5,2.1,0.707,3.3,5.1,8.3,2.5,1.2,1.1,1.2,2.8,7.8,
Precious Achiuwa,24,PF,74,18,21.9,3.2,6.3,0.501,0.4,1.3,0.268,2.8,5,0.562,0.529,0.9,1.5,0.616,2.6,4,6.6,1.3,0.6,0.9,1.1,1.9,7.6,
Precious Achiuwa,24,C,25,0,17.5,3.1,6.8,0.459,0.5,1.9,0.277,2.6,4.9,0.528,0.497,1,1.7,0.571,2,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7,
Precious Achiuwa,24,PF,49,18,24.2,3.2,6.1,0.525,0.3,1,0.26,2.9,5.1,0.578,0.547,0.9,1.4,0.643,2.9,4.3,7.2,1.1,0.6,1.1,1.1,2.1,7.6,
Toumani Camara,23,PF,70,49,24.8,2.8,6.3,0.45,0.8,2.5,0.337,2,3.8,0.523,0.516,1.1,1.4,0.758,2,2.9,4.9,1.2,0.9,0.5,1.2,2.5,7.5,
Paul Reed,24,C,82,24,19.4,3.2,5.9,0.54,0.3,0.7,0.368,2.9,5.2,0.563,0.561,0.7,1,0.718,2.4,3.6,6,1.3,0.8,1,0.8,2.4,7.3,
Lamar Stevens,26,PF,38,3,14.7,2.8,6.3,0.45,0.4,1.2,0.304,2.5,5.1,0.485,0.479,1.1,1.4,0.778,0.9,2.4,3.3,0.7,0.6,0.6,0.6,1.2,7.2,
Lamar Stevens,26,PF,19,2,23,4.6,10.3,0.446,0.6,2,0.289,4,8.3,0.484,0.474,1.8,2.3,0.791,1.3,3.8,5.1,1.1,0.9,0.9,0.8,1.6,11.5,
Trey Lyles,28,PF,58,0,20,2.5,5.5,0.445,1.4,3.8,0.384,1,1.8,0.578,0.576,0.8,1.2,0.7,1.1,3.4,4.4,1.2,0.3,0.3,0.7,1.5,7.2,
Trendon Watford,23,PF,63,2,13.6,2.6,4.9,0.527,0.4,1.1,0.397,2.2,3.9,0.564,0.571,1.2,1.5,0.794,0.8,2.3,3.1,1.3,0.4,0.3,1,1.7,6.9,
Christian Wood,28,PF,50,1,17.4,2.5,5.3,0.466,0.7,2.3,0.307,1.8,3,0.587,0.532,1.3,1.9,0.702,0.8,4.3,5.1,1,0.3,0.7,1,1.4,6.9,
Trey Jemison,24,C,25,14,22.9,3,5.4,0.551,0,0,,3,5.4,0.551,0.551,0.8,1,0.84,2.6,2.8,5.4,1.1,0.5,1.1,1.4,2.8,6.8,
Trey Jemison,24,C,23,14,24.9,3.3,5.9,0.551,0,0,,3.3,5.9,0.551,0.551,0.9,1.1,0.84,2.8,3,5.8,1.2,0.5,1.2,1.4,3,7.4,
Jonathan Isaac,26,PF,58,2,15.8,2.5,4.9,0.51,0.7,1.9,0.375,1.8,3,0.598,0.584,1,1.4,0.72,1.3,3.2,4.5,0.5,0.7,1.2,0.5,1.1,6.8,
Dāvis Bertāns,31,PF,43,1,15.7,2.1,5.4,0.393,1.8,4.7,0.38,0.4,0.8,0.471,0.556,0.7,0.8,0.909,0.2,1.2,1.4,0.8,0.6,0.3,0.4,1.3,6.7,
Dāvis Bertāns,31,PF,28,1,20.8,2.9,7.4,0.394,2.4,6.3,0.375,0.6,1.1,0.5,0.553,0.6,0.6,0.889,0.3,1.6,1.8,0.9,0.8,0.3,0.6,1.6,8.8,
Chimezie Metu,26,C,51,12,16.8,2.4,4.8,0.504,0.5,1.8,0.298,1.9,2.9,0.633,0.561,1.1,1.3,0.906,0.8,3,3.8,0.9,0.8,0.3,1,1.4,6.5,
Chimezie Metu,26,C,37,5,12.1,1.8,3.5,0.508,0.4,1.4,0.294,1.4,2.1,0.646,0.565,1,1.2,0.884,0.6,2.3,3,0.5,0.5,0.2,0.7,1.1,5,
Kyle Anderson,30,PF,79,10,22.6,2.5,5.5,0.46,0.1,0.6,0.229,2.4,4.9,0.488,0.472,1.2,1.7,0.708,0.8,2.7,3.5,4.2,0.9,0.6,1.2,1.6,6.4,
Chris Boucher,31,PF,50,0,14.1,2.2,4.3,0.507,0.6,1.9,0.33,1.6,2.5,0.642,0.578,1.4,1.8,0.772,1.2,2.9,4.1,0.5,0.3,0.5,0.6,1.4,6.4,
Bruno Fernando,25,C,45,2,15.2,2.4,4.2,0.583,0,0.1,0,2.4,4.1,0.596,0.583,1.4,2.1,0.667,1.3,3,4.3,1,0.6,0.6,1,2.4,6.3,
Daniel Theis,31,C,60,3,16.9,2.6,4.9,0.532,0.4,1.2,0.366,2.2,3.7,0.586,0.577,0.6,0.8,0.76,1.4,2.7,4.1,1,0.4,0.9,0.7,2.1,6.3,
Daniel Theis,31,C,59,3,17.1,2.6,4.9,0.536,0.4,1.2,0.371,2.2,3.7,0.589,0.581,0.6,0.8,0.76,1.4,2.7,4.1,1,0.4,0.9,0.7,2.1,6.3,
Jae Crowder,33,PF,50,25,23.1,2.3,5.4,0.422,1.2,3.3,0.349,1.1,2.1,0.538,0.53,0.5,0.7,0.722,0.6,2.6,3.2,1.3,0.8,0.2,0.5,1.5,6.2,
Haywood Highsmith,27,PF,66,26,20.7,2.3,5,0.465,1.2,2.9,0.396,1.2,2.1,0.562,0.581,0.3,0.5,0.639,1,2.2,3.2,1.1,0.8,0.5,0.5,1.8,6.1,
Thomas Bryant,26,C,38,4,11.6,2.3,3.9,0.577,0.1,0.6,0.182,2.2,3.3,0.646,0.591,1.1,1.2,0.872,1.1,2.7,3.7,0.6,0.3,0.4,0.6,1.2,5.7,
Larry Nance Jr.,31,C,61,0,19.9,2.3,4,0.573,0.4,1.1,0.415,1.8,2.9,0.631,0.629,0.8,1,0.77,1.5,3.5,5,1.9,1,0.3,0.8,1.6,5.7,
Mitchell Robinson,25,C,31,21,24.8,2.4,4.1,0.575,0,0,,2.4,4.1,0.575,0.575,0.9,2.1,0.409,4.6,3.9,8.5,0.6,1.2,1.1,0.8,1.8,5.6,
Neemias Queta,24,C,28,0,11.9,2.4,3.7,0.644,0,0,,2.4,3.7,0.644,0.644,0.7,1,0.714,1.9,2.5,4.4,0.7,0.5,0.8,0.5,1.8,5.5,
Sasha Vezenkov,28,PF,42,0,12.2,2,4.5,0.44,1.1,2.9,0.375,0.9,1.7,0.549,0.558,0.3,0.4,0.8,0.7,1.6,2.3,0.5,0.5,0.2,0.3,1,5.4,
Dean Wade,27,PF,54,32,20.5,1.8,4.3,0.414,1.5,3.7,0.391,0.3,0.6,0.567,0.584,0.4,0.5,0.769,0.7,3.4,4,0.8,0.7,0.5,0.4,1.7,5.4,
Xavier Tillman Sr.,25,PF,54,15,18,2.2,5.2,0.434,0.4,1.5,0.247,1.9,3.7,0.51,0.47,0.4,0.9,0.44,1.3,2.6,3.9,1.4,0.9,0.8,0.6,1.4,5.3,
Xavier Tillman Sr.,25,C,34,13,20.6,2.6,6.3,0.408,0.4,1.6,0.226,2.2,4.7,0.469,0.437,0.5,1.3,0.419,1.6,3,4.6,1.7,1.2,1,0.9,1.8,6,
Xavier Tillman Sr.,25,PF,20,2,13.7,1.7,3.3,0.515,0.4,1.4,0.286,1.3,1.9,0.684,0.576,0.2,0.4,0.571,0.7,2,2.7,1,0.5,0.5,0.3,0.8,4,
Luke Kornet,28,C,63,7,15.6,2.3,3.2,0.7,0,0,1,2.2,3.2,0.698,0.702,0.8,0.9,0.907,1.9,2.3,4.1,1.1,0.4,1,0.3,1.2,5.3,
Mason Plumlee,33,C,46,11,14.7,1.9,3.3,0.569,0,0.1,0,1.9,3.2,0.592,0.569,1.5,2.2,0.707,1.3,3.8,5.1,1.2,0.3,0.4,0.8,1.5,5.3,
Bol Bol,24,PF,43,0,10.9,2.2,3.5,0.616,0.5,1.2,0.423,1.7,2.3,0.717,0.689,0.3,0.4,0.789,0.7,2.4,3.2,0.4,0.2,0.6,0.4,1,5.2,
Jarred Vanderbilt,24,PF,29,6,20,2,3.9,0.518,0.3,0.9,0.296,1.8,3,0.586,0.553,0.8,1.2,0.667,1.4,3.3,4.8,1.2,1.2,0.2,1,1.5,5.2,
Drew Eubanks,26,C,75,6,15.6,2,3.4,0.601,0,0,1,2,3.3,0.596,0.607,1,1.2,0.774,1.4,2.9,4.3,0.8,0.4,0.8,0.8,1.5,5.1,
Richaun Holmes,30,C,40,10,13.9,2.1,3.7,0.558,0,0.1,0.333,2,3.6,0.563,0.561,0.9,1.2,0.723,1.8,2.8,4.6,0.6,0.3,0.5,0.6,1.9,5,
Richaun Holmes,30,C,23,2,10.3,1.4,2.6,0.559,0,0,,1.4,2.6,0.559,0.559,0.5,0.9,0.571,1.4,2,3.4,0.7,0.1,0.4,0.5,1.4,3.4,
Richaun Holmes,30,PF,17,8,18.7,2.9,5.2,0.557,0.1,0.2,0.333,2.8,5,0.565,0.563,1.3,1.5,0.846,2.2,3.9,6.1,0.6,0.5,0.6,0.7,2.4,7.1,
Goga Bitadze,24,C,62,33,15.4,2,3.4,0.603,0,0.2,0.143,2,3.1,0.636,0.608,0.9,1.4,0.655,1.8,2.9,4.6,1.3,0.5,1.2,0.7,1.7,5,
Isaiah Livers,25,PF,23,6,20.4,1.7,5,0.345,1,3.3,0.286,0.8,1.7,0.462,0.44,0.5,0.8,0.667,0.7,1.4,2.1,1.1,0.6,0.2,0.7,1.9,5,
Jalen Wilson,23,PF,43,3,15.4,1.8,4.2,0.425,0.6,1.7,0.324,1.2,2.4,0.495,0.492,0.9,1.1,0.826,1.1,2,3,1,0.3,0.1,0.4,1.1,5,
Jock Landale,28,C,56,3,13.6,1.9,3.7,0.515,0.2,0.7,0.25,1.7,3,0.578,0.539,0.9,1.2,0.8,1.6,1.5,3.1,1.2,0.4,0.6,0.6,1.3,4.9,
Kenrich Williams,29,PF,69,1,14.9,1.9,4.1,0.468,0.8,2,0.397,1.1,2,0.54,0.568,0.1,0.2,0.5,0.9,2.1,3,1.3,0.6,0.1,0.5,1.5,4.7,
Omer Yurtseven,25,C,48,12,11.4,2.1,3.8,0.538,0.1,0.5,0.208,2,3.3,0.588,0.552,0.4,0.6,0.679,1.5,2.8,4.3,0.6,0.2,0.4,0.8,1.1,4.6,
Kevon Looney,27,C,74,36,16.1,1.9,3.1,0.597,0,0,0,1.9,3.1,0.599,0.597,0.8,1.1,0.675,1.9,3.7,5.7,1.8,0.4,0.4,0.7,2.1,4.5,
Bismack Biyombo,31,C,40,27,19.8,1.9,3.3,0.565,0,0,,1.9,3.3,0.565,0.565,0.7,1.4,0.481,1.6,3.7,5.2,1.3,0.3,0.9,1.1,2.2,4.4,
Bismack Biyombo,31,C,30,27,23.9,2.2,4,0.563,0,0,,2.2,4,0.563,0.563,0.7,1.5,0.478,1.9,4.5,6.4,1.7,0.3,1.1,1.3,2.7,5.2,
Robert Covington,33,PF,29,6,16.8,1.5,3.4,0.439,0.7,1.9,0.339,0.8,1.4,0.571,0.536,0.8,0.9,0.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4,
Mo Bamba,25,C,57,17,13,1.7,3.5,0.49,0.4,1.1,0.391,1.3,2.4,0.537,0.553,0.6,0.9,0.68,1.4,2.8,4.2,0.7,0.4,1.1,0.7,1.8,4.4,
Maxi Kleber,32,C,43,7,20.3,1.5,3.4,0.432,0.7,2.1,0.348,0.7,1.3,0.574,0.541,0.8,1.1,0.702,0.7,2.6,3.3,1.6,0.4,0.7,0.7,1.8,4.4,
Jontay Porter,24,PF,26,5,13.8,1.5,4,0.385,0.8,2.3,0.333,0.8,1.7,0.455,0.481,0.6,0.7,0.833,1,2.2,3.2,2.3,0.8,0.8,0.8,1.3,4.4,
